# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
15830,1855,119,206939,204443
15850,1843,119,206953,204459
15870,1828,111,206989,204467
15890,1841,102,207022,204476
15910,1831,111,207045,204503
15930,1824,101,207029,204484
15950,1818,87,207022,204510
15970,1804,95,207011,204453
15990,1812,107,206987,204437
16014,1821,219,206961,204425
16034,1815,207,206959,204411
16054,1807,211,206978,204425
16074,1796,185,206969,204438
16094,1799,177,207008,204434
16114,1799,162,207005,204426
16134,1792,155,206987,204395
16154,1781,139,207012,204426
16174,1792,159,207013,204429
16194,1780,123,207047,204423
16214,1783,136,207075,204430
16234,1781,128,207055,204422
16254,1787,102,207059,204415
16274,1771,115,207058,204428
16294,1762,103,207068,204424
16314,1759,96,207083,204415
16334,1767,111,207061,204404
16354,1767,81,207058,204398
16374,1759,93,207013,204337
16398,1757,188,206949,204328
16418,1744,211,206818,204279
16438,1752,192,206729,204220
16458,1755,176,206633,204199
16478,1751,205,206603,204184
16498,1738,159,206619,204191
16518,1740,159,206622,204196
16538,1734,152,206638,204192
16558,1726,155,206652,204195
16578,1751,147,206636,204219
16598,1735,122,206673,204209
16618,1737,143,206704,204232
16638,1733,112,206761,204263
16658,1728,109,206843,204281
16678,1718,120,206884,204307
16698,1716,100,206910,204316
16718,1728,88,206930,204331
16738,1728,86,206954,204335
16758,1725,95,206967,204337
16778,1719,76,207003,204324
16802,1708,211,206983,204328
16822,1708,215,206981,204326
16842,1725,179,207018,204344
16862,1712,174,207012,204349
16882,1707,169,207055,204340
16902,1701,154,207076,204377
16922,1698,163,207087,204377
16942,1698,144,207114,204399
16962,1713,143,207132,204408
16982,1700,122,207179,204420
17002,1696,118,207219,204448
17022,1701,124,207251,204463
17042,1699,107,207286,204469
17062,1690,120,207315,204505
17082,1705,111,207339,204498
17102,1688,111,207329,204490
17122,1715,104,207299,204482
17142,1703,82,207318,204488
17162,1696,95,207343,204501
17182,1695,87,207363,204504
17206,1687,217,207297,204468
17226,1682,183,207221,204420
17246,1680,199,207107,204367
17266,1683,191,206952,204333
17286,1684,161,206915,204308
17306,1695,161,206928,204328
17326,1676,165,206950,204311
17346,1687,134,206957,204329
17366,1675,159,206936,204315
17386,1680,131,206930,204277
17406,1687,116,206891,204297
17426,1673,127,206892,204286
17446,1691,107,206900,204297
17466,1671,113,206931,204322
17486,1668,95,206974,204316
17506,1675,104,206980,204317
17526,1664,92,206966,204310
17546,1679,91,206973,204336
17566,1679,80,207025,204350
17590,1671,202,207058,204365
17610,1675,196,207056,204377
17630,1671,172,207109,204384
17650,1667,183,207157,204405
17670,1679,205,207177,204398
17690,1672,152,207211,204445
17710,1673,164,207242,204450
17730,1671,167,207287,204464
17750,1667,144,207314,204465
17770,1675,138,207308,204492
17790,1654,135,207326,204467
17810,1671,91,207340,204500
17830,1663,119,207359,204508
17850,1667,108,207367,204486
17870,1665,112,207325,204490
17890,1654,119,207336,204500
17910,1665,90,207350,204489
17930,1655,109,207347,204498
17950,1654,103,207348,204497
17970,1655,92,207407,204521
17994,1675,194,207399,204512
18014,1659,198,207387,204494
18034,1650,187,207406,204503
18054,1651,187,207404,204529
18074,1648,171,207443,204511
18094,1651,160,207413,204491
18114,1637,163,207258,204423
18134,1652,146,207143,204380
18154,1661,132,207036,204356
18174,1675,119,207015,204337
18194,1652,123,207023,204358
18214,1655,143,207004,204359
18234,1663,119,207021,204352
18254,1652,106,207005,204352
18274,1653,112,206993,204327
18294,1663,103,206954,204327
18314,1656,92,206904,204287
18334,1677,78,206886,204253
18354,1657,101,206882,204255
18374,1665,107,206860,204224
18397,1656,200,206823,204168
18417,1652,211,206773,204148
18437,1661,204,206717,204129
18457,1652,203,206727,204146
18477,1664,174,206740,204178
18497,1677,156,206836,204210
18517,1655,176,206918,204240
18537,1664,160,206935,204248
18557,1671,147,206975,204269
18577,1654,145,206998,204293
18597,1667,139,207074,204310
18617,1679,133,207139,204342
18637,1679,110,207172,204366
18657,1663,105,207200,204373
18677,1671,115,207227,204396
18697,1667,123,207281,204412
18717,1671,112,207316,204424
18737,1667,91,207342,204453
18757,1656,82,207412,204483
18777,1659,85,207459,204506
18797,1669,96,207493,204525
18821,1669,215,207515,204538
18841,1664,183,207558,204551
18861,1679,182,207586,204557
